Part Type,Part Number,Schematic Part,Part Value,Current Rating (Amps),Current - Saturation,DC Resistance (DCR),Frequency - Self Resonant,Inductance Frequency - Test,Q @ Freq,Inductance,Tolerance,Voltage,Material - Core,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Height - Seated (Max),Size,Number of Pins,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
INDUCTOR RF,LQW15AN2N4D10D,inductors\Inductor,2.4nH,1A,,27mOhm Max,14GHz,100MHz,25 @ 250MHz,2.4nH,±0.5nH,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-0051.pdf,FIXED IND 2.4NH 1A 27 MOHM SMD,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15CN33NJ0ZD,inductors\Inductor,33nH,1.3A,,65mOhm Max,1.8GHz,100MHz,,33nH,±5%,,Ferrite,L_0402_1005Metric,0402 (1006 Metric),L,,,https://psearch.en.murata.com/inductor/product/LQW15CN33NJ0Z_.pdf,FIXED IND 33NH 1.3A 65 MOHM SMD,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-40°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15CAR64K00D,inductors\Inductor,640nH,240mA,,1.4Ohm Max,870MHz,10MHz,,640nH,±10%,,Ferrite,Nonstandard,Nonstandard,L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-0140.pdf,FIXED IND 640NH 240MA 1.4 OHM,Surface Mount,0.026 (0.66mm),0.040 L x 0.022 W (1.02mm x 0.55mm),2,-40°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN13NG8ZD,inductors\Inductor,13nH,1.24A,,93mOhm Max,5.2GHz,100MHz,30 @ 250MHz,13nH,±2%,,Non-Magnetic,L_0402_1005Metric,0402 (1005 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 13NH 1.24A 93 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN47NJ8ZD,inductors\Inductor,47nH,440mA,,648mOhm Max,3.2GHz,100MHz,25 @ 200MHz,47nH,±5%,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 47NH 440MA 648 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN5N1B80D,inductors\Inductor,5.1nH,1.77A,,40mOhm Max,8GHz,100MHz,35 @ 250MHz,5.1nH,±0.1nH,,0402 (1005 Metric),L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-0100.pdf,FIXED IND 5.1NH 1.77A 40 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN75NG80D,inductors\Inductor,75nH,320mA,,1.224Ohm Max,2.4GHz,100MHz,25 @ 200MHz,75nH,±2%,,0402 (1005 Metric),L_0402_1005Metric,0402 (1005 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-0100.pdf,FIXED IND 75NH 320MA 1.224 OHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.020 W (1.00mm x 0.50mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN3N4G8ZD,inductors\Inductor,3.4nH,1.95A,,30mOhm Max,10GHz,100MHz,30 @ 250MHz,3.4nH,±2%,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 3.4NH 1.95A 30 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN30NG80D,inductors\Inductor,30nH,660mA,,309mOhm Max,3.8GHz,100MHz,30 @ 250MHz,30nH,±2%,,Non-Magnetic,L_0402_1005Metric,0402 (1005 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-0100.pdf,FIXED IND 30NH 660MA 309 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.020 W (1.00mm x 0.50mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN3N6G8ZD,inductors\Inductor,3.6nH,1.95A,,30mOhm Max,10GHz,100MHz,30 @ 250MHz,3.6nH,±2%,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 3.6NH 1.95A 30 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN23NG8ZD,inductors\Inductor,23nH,760mA,,201mOhm Max,4.5GHz,100MHz,29 @ 250MHz,23nH,±2%,,Non-Magnetic,L_0402_1005Metric,0402 (1005 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 23NH 760MA 201 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN4N6B8ZD,inductors\Inductor,4.6nH,1.45A,,60mOhm Max,9.6GHz,100MHz,32 @ 250MHz,4.6nH,±0.1nH,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 4.6NH 1.45A 60 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN33NG8ZD,inductors\Inductor,33nH,620mA,,336mOhm Max,3.6GHz,100MHz,30 @ 250MHz,33nH,±2%,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 33NH 620MA 336 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN5N2B8ZD,inductors\Inductor,5.2nH,1.77A,,40mOhm Max,8GHz,100MHz,35 @ 250MHz,5.2nH,±0.1nH,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 5.2NH 1.77A 40 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN1N6D8ZD,inductors\Inductor,1.6nH,1.45A,,45mOhm Max,18GHz,100MHz,20 @ 250MHz,1.6nH,±0.5nH,,Non-Magnetic,L_0402_1005Metric,0402 (1005 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 1.6NH 1.45A 45 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN7N0G8ZD,inductors\Inductor,7nH,1.42A,,69mOhm Max,8GHz,100MHz,33 @ 250MHz,7nH,±2%,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 7NH 1.42A 69 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN7N5G80D,inductors\Inductor,7.5nH,1.7A,,50mOhm Max,7GHz,100MHz,35 @ 250MHz,7.5nH,±2%,,0402 (1005 Metric),L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-0100.pdf,FIXED IND 7.5NH 1.7A 50 MOHM SMD,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN3N8G8ZD,inductors\Inductor,3.8nH,1.95A,,30mOhm Max,10GHz,100MHz,35 @ 250MHz,3.8nH,±2%,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 3.8NH 1.95A 30 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN18NG8ZD,inductors\Inductor,18nH,1.05A,,130mOhm Max,5.2GHz,100MHz,30 @ 250MHz,18nH,±2%,,Non-Magnetic,L_0402_1005Metric,0402 (1005 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 18NH 1.05A 130 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN33NJ8ZD,inductors\Inductor,33nH,620mA,,336mOhm Max,3.6GHz,100MHz,30 @ 250MHz,33nH,±5%,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 33NH 620MA 336 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN9N5G8ZD,inductors\Inductor,9.5nH,1.4A,,81mOhm Max,6GHz,100MHz,32 @ 250MHz,9.5nH,±2%,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 9.5NH 1.4A 81 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN1N3D8ZD,inductors\Inductor,1.3nH,3.15A,,12mOhm Max,18GHz,100MHz,20 @ 250MHz,1.3nH,±0.5nH,,Non-Magnetic,L_0402_1005Metric,0402 (1005 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 1.3NH 3.15A 12 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN30NG8ZD,inductors\Inductor,30nH,660mA,,309mOhm Max,3.8GHz,100MHz,30 @ 250MHz,30nH,±2%,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 30NH 660MA 309 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN14NG8ZD,inductors\Inductor,14nH,1.15A,,111mOhm Max,5.2GHz,100MHz,31 @ 250MHz,14nH,±2%,,Non-Magnetic,L_0402_1005Metric,0402 (1005 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 14NH 1.15A 111 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN56NG8ZD,inductors\Inductor,56nH,340mA,,996mOhm Max,2.9GHz,100MHz,25 @ 200MHz,56nH,±2%,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 56NH 340MA 996 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN5N0B8ZD,inductors\Inductor,5nH,1.77A,,40mOhm Max,10GHz,100MHz,32 @ 250MHz,5nH,±0.1nH,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 5NH 1.77A 40 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN22NJ8ZD,inductors\Inductor,22nH,780mA,,202mOhm Max,4.5GHz,100MHz,30 @ 250MHz,22nH,±5%,,Non-Magnetic,L_0402_1005Metric,0402 (1005 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 22NH 780MA 202 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN4N4B8ZD,inductors\Inductor,4.4nH,1.6A,,52mOhm Max,9.6GHz,100MHz,34 @ 250MHz,4.4nH,±0.1nH,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 4.4NH 1.6A 52 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN7N1G80D,inductors\Inductor,7.1nH,1.42A,,69mOhm Max,7GHz,100MHz,32 @ 250MHz,7.1nH,±2%,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-0100.pdf,FIXED IND 7.1NH 1.42A 69 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN4N7B8ZD,inductors\Inductor,4.7nH,1.2A,,71mOhm Max,8GHz,100MHz,31 @ 250MHz,4.7nH,±0.1nH,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 4.7NH 1.2A 71 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN7N4G8ZD,inductors\Inductor,7.4nH,1.7A,,50mOhm Max,7GHz,100MHz,30 @ 250MHz,7.4nH,±2%,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 7.4NH 1.7A 50 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN4N7B0ZD,inductors\Inductor,4.7nH,750mA,,70mOhm Max,8GHz,100MHz,25 @ 250MHz,4.7nH,±0.1nH,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9114.pdf,FIXED IND 4.7NH 750MA 70 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN20NG80D,inductors\Inductor,20nH,800mA,,186mOhm Max,4.5GHz,100MHz,30 @ 250MHz,20nH,±2%,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-0100.pdf,FIXED IND 20NH 800MA 186 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN4N0B8ZD,inductors\Inductor,4nH,1.95A,,30mOhm Max,10GHz,100MHz,30 @ 250MHz,4nH,±0.1nH,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 4NH 1.95A 30 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN4N3B8ZD,inductors\Inductor,4.3nH,1.8A,,44mOhm Max,9.6GHz,100MHz,32 @ 250MHz,4.3nH,±0.1nH,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 4.3NH 1.8A 44 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN3N7G8ZD,inductors\Inductor,3.7nH,1.95A,,30mOhm Max,10GHz,100MHz,35 @ 250MHz,3.7nH,±2%,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 3.7NH 1.95A 30 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN39NG8ZD,inductors\Inductor,39nH,530mA,,456mOhm Max,3.4GHz,100MHz,28 @ 250MHz,39nH,±2%,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 39NH 530MA 456 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN9N5J8ZD,inductors\Inductor,9.5nH,1.4A,,81mOhm Max,6GHz,100MHz,32 @ 250MHz,9.5nH,±5%,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 9.5NH 1.4A 81 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN27NJ8ZD,inductors\Inductor,27nH,680mA,,288mOhm Max,4GHz,100MHz,30 @ 250MHz,27nH,±5%,,Non-Magnetic,L_0402_1005Metric,0402 (1005 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 27NH 680MA 288 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN2N4G8ZD,inductors\Inductor,2.4nH,2.53A,,22mOhm Max,15.5GHz,100MHz,30 @ 250MHz,2.4nH,±2%,,Non-Magnetic,L_0402_1005Metric,0402 (1005 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 2.4NH 2.53A 22 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN3N3B8ZD,inductors\Inductor,3.3nH,2A,,30mOhm Max,14GHz,100MHz,30 @ 250MHz,3.3nH,±0.1nH,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 3.3NH 2A 30 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN47NG8ZD,inductors\Inductor,47nH,440mA,,648mOhm Max,3.2GHz,100MHz,25 @ 200MHz,47nH,±2%,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 47NH 440MA 648 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN3N6B80D,inductors\Inductor,3.6nH,1.95A,,30mOhm Max,10GHz,100MHz,30 @ 250MHz,3.6nH,±0.1nH,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-0100.pdf,FIXED IND 3.6NH 1.95A 30 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN20NJ8ZD,inductors\Inductor,20nH,800mA,,186mOhm Max,4.5GHz,100MHz,30 @ 250MHz,20nH,±5%,,Non-Magnetic,L_0402_1005Metric,0402 (1005 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 20NH 800MA 186 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN2N2B8ZD,inductors\Inductor,2.2nH,2.53A,,22mOhm Max,15.5GHz,100MHz,30 @ 250MHz,2.2nH,±0.1nH,,Non-Magnetic,L_0402_1005Metric,0402 (1005 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 2.2NH 2.53A 22 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN14NG80D,inductors\Inductor,14nH,1.15A,,111mOhm Max,5.2GHz,100MHz,31 @ 250MHz,14nH,±2%,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-0100.pdf,FIXED IND 14NH 1.15A 111 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN11NG80D,inductors\Inductor,11nH,1.4A,,83mOhm Max,6.2GHz,100MHz,32 @ 250MHz,11nH,±2%,,Non-Magnetic,L_0402_1005Metric,0402 (1005 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-0100.pdf,FIXED IND 11NH 1.4A 83 MOHM SMD,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN2N3G8ZD,inductors\Inductor,2.3nH,2.53A,,22mOhm Max,15.5GHz,100MHz,30 @ 250MHz,2.3nH,±2%,,Non-Magnetic,L_0402_1005Metric,0402 (1005 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 2.3NH 2.53A 22 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN12NJ8ZD,inductors\Inductor,12nH,1.24A,,93mOhm Max,5.2GHz,100MHz,30 @ 250MHz,12nH,±5%,,Non-Magnetic,L_0402_1005Metric,0402 (1005 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 12NH 1.24A 93 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN39NJ8ZD,inductors\Inductor,39nH,530mA,,456mOhm Max,3.4GHz,100MHz,28 @ 250MHz,39nH,±5%,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 39NH 530MA 456 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN25NJ8ZD,inductors\Inductor,25nH,750mA,,221mOhm Max,4.1GHz,100MHz,31 @ 250MHz,25nH,±5%,,Non-Magnetic,L_0402_1005Metric,0402 (1005 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 25NH 750MA 221 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN33NG80D,inductors\Inductor,33nH,620mA,,336mOhm Max,3.6GHz,100MHz,30 @ 250MHz,33nH,±2%,,0402 (1005 Metric),L_0402_1005Metric,0402 (1005 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-0100.pdf,FIXED IND 33NH 620MA 336 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.020 W (1.00mm x 0.50mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN3N8B8ZD,inductors\Inductor,3.8nH,1.95A,,30mOhm Max,10GHz,100MHz,35 @ 250MHz,3.8nH,±0.1nH,,Non-Magnetic,L_0402_1005Metric,0402 (1006 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 3.8NH 1.95A 30 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN1N5D8ZD,inductors\Inductor,1.5nH,2.1A,,28mOhm Max,18GHz,100MHz,20 @ 250MHz,1.5nH,±0.5nH,,Non-Magnetic,L_0402_1005Metric,0402 (1005 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-9138.pdf,FIXED IND 1.5NH 2.1A 28 MOHM,Surface Mount,0.024 (0.60mm),0.039 L x 0.024 W (1.00mm x 0.60mm),2,-55°C ~ 125°C,,Murata Electronics,,,
INDUCTOR RF,LQW15AN68NG80D,inductors\Inductor,68nH,320mA,,1.1Ohm Max,2.5GHz,100MHz,25 @ 200MHz,68nH,±2%,,Non-Magnetic,L_0402_1005Metric,0402 (1005 Metric),L,,,https://search.murata.co.jp/Ceramy/image/img/P02/JELF243A-0100.pdf,FIXED IND 68NH 320MA 1.1 OHM SMD,Surface Mount,0.024 (0.60mm),0.039 L x 0.020 W (1.00mm x 0.50mm),2,-55°C ~ 125°C,,Murata Electronics,,,
