"Channel Type","Comment","Common Mode Transient Immunity (Min)","ComponentLink1Description","ComponentLink1URL","ComponentLink2Description","ComponentLink2URL","ComponentLink3Description","ComponentLink3URL","ComponentLink4Description","ComponentLink4URL","ComponentLink5Description","ComponentLink5URL","ComponentLink6Description","ComponentLink6URL","Data Rate","Description","Device Package","Footprint Path","Footprint Path 2","Footprint Path 3","Footprint Ref","Footprint Ref 2","Footprint Ref 3","Inputs - Side 1/Side 2","Isolated Power","LastUpdated","Lifecycle Status","Manufacturer","Part Number","Minimum Order","Mounting Type","Number of Channels","Operating Temperature","Package / Case","Packaging","PartId","Part Status","Price","Propagation Delay tpLH / tpHL (Max)","Pulse Width Distortion (Max)","Rise / Fall Time (Typ)","Series","Supplier 1","Supplier Part Number 1","Supplier 2","Supplier Part Number 2","Supplier 3","Supplier Part Number 3","Supplier 4","Supplier Part Number 4","Supplier 5","Supplier Part Number 5","Supplier 6","Supplier Part Number 6","Supplier Device Package","Library Path","Library Ref","Technology","Type","Value","Voltage - Isolation","Voltage - Supply"
Unidirectional,=Part Number,"50kV/µs",Datasheet,https://www.silabs.com/documents/public/data-sheets/si864x-datasheet.pdf,DigiKey Link,//digikey.com/product-detail/en/silicon-labs/SI8641ED-B-IS2/336-4215-ND/7725445,"","","","","","","","","150Mbps",QUAD CH 5KV ISOLATOR,"16-SOIC (0.295, 7.50mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - SI LABS SOIC-16 WIDE.PCBLIB,"","",SI LABS SOIC-16 WIDE,"","","3/1",No,"2019-12-06 06:45:54.523000","0",Silicon Labs,SI8641ED-B-IS2,"1",Surface Mount,"4",-40°C ~ 125°C,"16-SOIC (0.295, 7.50mm Width)",Tube,"25",Active,"3.94","13ns, 13ns","4.5ns","4ns, 4ns",-,DigiKey,"336-4215-ND","","","","","","","","","","","16-SOIC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - SI LABS SI8641.SCHLIB,SI LABS SI8641,Capacitive Coupling,General Purpose,"","5000Vrms","2.5V ~ 5.5V"
Unidirectional,=Part Number,"60kV/µs",Datasheet,https://www.silabs.com/documents/public/data-sheets/si864x-datasheet.pdf,DigiKey Link,//digikey.com/product-detail/en/silicon-labs/SI8641BT-IS/336-3426-5-ND/5604313,"","","","","","","","","150Mbps",DGTL ISO 5KV 4CH GEN PURP 16SOIC,"16-SOIC (0.295, 7.50mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - SI LABS SOIC-16 WIDE.PCBLIB,"","",SI LABS SOIC-16 WIDE,"","","3/1",No,"2019-12-06 06:47:07.900000","0",Silicon Labs,SI8641BT-IS,"1",Surface Mount,"4",-40°C ~ 125°C,"16-SOIC (0.295, 7.50mm Width)",Tube,"26",Active,"4.21","13ns, 13ns","4.5ns","2.5ns, 2.5ns",-,DigiKey,"336-3426-5-ND","","","","","","","","","","","16-SOIC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - SI LABS SI8641.SCHLIB,SI LABS SI8641,Capacitive Coupling,General Purpose,"","5000Vrms","2.5V ~ 5.5V"
Unidirectional,=Part Number,"60kV/µs",Datasheet,https://www.silabs.com/documents/public/data-sheets/si864x-datasheet.pdf,DigiKey Link,//digikey.com/product-detail/en/silicon-labs/SI8641ET-IS/336-3427-5-ND/5604314,"","","","","","","","","150Mbps",DGTL ISO 5KV 4CH GEN PURP 16SOIC,"16-SOIC (0.295, 7.50mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - SI LABS SOIC-16 WIDE.PCBLIB,"","",SI LABS SOIC-16 WIDE,"","","3/1",No,"2019-12-06 06:47:49.960000","0",Silicon Labs,SI8641ET-IS,"1",Surface Mount,"4",-40°C ~ 125°C,"16-SOIC (0.295, 7.50mm Width)",Tube,"27",Active,"4.21","13ns, 13ns","4.5ns","2.5ns, 2.5ns",-,DigiKey,"336-3427-5-ND","","","","","","","","","","","16-SOIC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - SI LABS SI8641.SCHLIB,SI LABS SI8641,Capacitive Coupling,General Purpose,"","5000Vrms","2.5V ~ 5.5V"
Unidirectional,=Part Number,"35kV/µs",Datasheet,https://www.silabs.com/documents/public/data-sheets/si864x-datasheet.pdf,DigiKey Link,//digikey.com/product-detail/en/silicon-labs/SI8642BB-B-IS/SI8642BB-B-IS-ND/4576746,"","","","","","","","","150Mbps",DGTL ISO 2.5KV GEN PURP 16SOIC,"16-SOIC (0.295, 7.50mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - SI LABS SOIC-16 WIDE.PCBLIB,"","",SI LABS SOIC-16 WIDE,"","","2/2",No,"2019-12-06 07:04:24.423000","0",Silicon Labs,SI8642BB-B-IS,"1",Surface Mount,"4",-40°C ~ 125°C,"16-SOIC (0.295, 7.50mm Width)",Tube,"28",Active,"2.73","13ns, 13ns","4.5ns","2.5ns, 2.5ns",-,DigiKey,SI8642BB-B-IS-ND,"","","","","","","","","","","16-SOIC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - SI LABS SI8642.SCHLIB,SI LABS SI8642,Capacitive Coupling,General Purpose,"","2500Vrms","2.5V ~ 5.5V"
Unidirectional,=Part Number,"35kV/µs",Datasheet,https://www.silabs.com/documents/public/data-sheets/Si86xx.pdf,DigiKey Link,//digikey.com/product-detail/en/silicon-labs/SI8642AB-B-ISR/336-4940-2-ND/4576602,"","","","","","","","","1Mbps",DGTL ISO 2.5KV GEN PURP 16SOIC,"16-SOIC (0.295, 7.50mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - SI LABS SOIC-16 WIDE.PCBLIB,"","",SI LABS SOIC-16 WIDE,"","","2/2",No,"2019-12-06 07:16:43.690000","0",Silicon Labs,SI8642AB-B-ISR,"1",Surface Mount,"4",-40°C ~ 125°C,"16-SOIC (0.295, 7.50mm Width)",TapeAndReel,"29",Active,"1.63","35ns, 35ns","25ns","2.5ns, 2.5ns",-,DigiKey,"336-4940-2-ND","","","","","","","","","","","16-SOIC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - SI LABS SI8642.SCHLIB,SI LABS SI8642,Capacitive Coupling,General Purpose,"","2500Vrms","2.5V ~ 5.5V"
Unidirectional,=Part Number,"35kV/µs",Datasheet,https://www.silabs.com/documents/public/data-sheets/si864x-datasheet.pdf,DigiKey Link,//digikey.com/product-detail/en/silicon-labs/SI8642ED-B-IS/336-2095-5-ND/2623343,"","","","","","","","","150Mbps",DGTL ISO 5KV 4CH GEN PURP 16SOIC,"16-SOIC (0.295, 7.50mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - SI LABS SOIC-16 WIDE.PCBLIB,"","",SI LABS SOIC-16 WIDE,"","","2/2",No,"2019-12-06 07:24:24.037000","0",Silicon Labs,SI8642ED-B-IS,"1",Surface Mount,"4",-40°C ~ 125°C,"16-SOIC (0.295, 7.50mm Width)",Tube,"30",Active,"3.59","13ns, 13ns","4.5ns","2.5ns, 2.5ns",-,DigiKey,"336-2095-5-ND","","","","","","","","","","","16-SOIC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - SI LABS SI8642.SCHLIB,SI LABS SI8642,Capacitive Coupling,General Purpose,"","5000Vrms","2.5V ~ 5.5V"
Unidirectional,=Part Number,"35kV/µs",Datasheet,https://www.silabs.com/documents/public/data-sheets/si864x-datasheet.pdf,DigiKey Link,//digikey.com/product-detail/en/silicon-labs/SI8642BD-B-IS/336-2093-5-ND/2623341,"","","","","","","","","150Mbps",DGTL ISO 5KV 4CH GEN PURP 16SOIC,"16-SOIC (0.295, 7.50mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - SI LABS SOIC-16 WIDE.PCBLIB,"","",SI LABS SOIC-16 WIDE,"","","2/2",No,"2019-12-06 07:26:36.560000","0",Silicon Labs,SI8642BD-B-IS,"1",Surface Mount,"4",-40°C ~ 125°C,"16-SOIC (0.295, 7.50mm Width)",Tube,"31",Active,"3.59","13ns, 13ns","4.5ns","2.5ns, 2.5ns",-,DigiKey,"336-2093-5-ND","","","","","","","","","","","16-SOIC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - SI LABS SI8642.SCHLIB,SI LABS SI8642,Capacitive Coupling,General Purpose,"","5000Vrms","2.5V ~ 5.5V"
Unidirectional,=Part Number,"50kV/µs",Datasheet,https://www.silabs.com/documents/public/data-sheets/si864x-datasheet.pdf,DigiKey Link,//digikey.com/product-detail/en/silicon-labs/SI8642BD-B-IS2/336-4216-ND/7725446,"","","","","","","","","150Mbps",QUAD CH 5KV ISOLATOR,"16-SOIC (0.295, 7.50mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - SI LABS SOIC-16 WIDE.PCBLIB,"","",SI LABS SOIC-16 WIDE,"","","2/2",No,"2019-12-06 07:27:28.277000","0",Silicon Labs,SI8642BD-B-IS2,"1",Surface Mount,"4",-40°C ~ 125°C,"16-SOIC (0.295, 7.50mm Width)",Tube,"32",Active,"3.94","13ns, 13ns","4.5ns","4ns, 4ns",-,DigiKey,"336-4216-ND","","","","","","","","","","","16-SOIC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - SI LABS SI8642.SCHLIB,SI LABS SI8642,Capacitive Coupling,General Purpose,"","5000Vrms","2.5V ~ 5.5V"
Unidirectional,=Part Number,"50kV/µs",Datasheet,https://www.silabs.com/documents/public/data-sheets/si864x-datasheet.pdf,DigiKey Link,//digikey.com/product-detail/en/silicon-labs/SI8642ED-B-IS2/336-4217-ND/7725447,"","","","","","","","","150Mbps",QUAD CH 5KV ISOLATOR,"16-SOIC (0.295, 7.50mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - SI LABS SOIC-16 WIDE.PCBLIB,"","",SI LABS SOIC-16 WIDE,"","","2/2",No,"2019-12-06 07:28:04.290000","0",Silicon Labs,SI8642ED-B-IS2,"1",Surface Mount,"4",-40°C ~ 125°C,"16-SOIC (0.295, 7.50mm Width)",Tube,"33",Active,"3.94","13ns, 13ns","4.5ns","4ns, 4ns",-,DigiKey,"336-4217-ND","","","","","","","","","","","16-SOIC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - SI LABS SI8642.SCHLIB,SI LABS SI8642,Capacitive Coupling,General Purpose,"","5000Vrms","2.5V ~ 5.5V"
Unidirectional,=Part Number,"60kV/µs",Datasheet,https://www.silabs.com/documents/public/data-sheets/si864x-datasheet.pdf,DigiKey Link,//digikey.com/product-detail/en/silicon-labs/SI8642BT-IS/336-3428-5-ND/5604315,"","","","","","","","","150Mbps",DGTL ISO 5KV 4CH GEN PURP 16SOIC,"16-SOIC (0.295, 7.50mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - SI LABS SOIC-16 WIDE.PCBLIB,"","",SI LABS SOIC-16 WIDE,"","","2/2",No,"2019-12-06 07:30:04.850000","0",Silicon Labs,SI8642BT-IS,"1",Surface Mount,"4",-40°C ~ 125°C,"16-SOIC (0.295, 7.50mm Width)",Tube,"34",Active,"4.21","13ns, 13ns","4.5ns","2.5ns, 2.5ns",-,DigiKey,"336-3428-5-ND","","","","","","","","","","","16-SOIC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - SI LABS SI8642.SCHLIB,SI LABS SI8642,Capacitive Coupling,General Purpose,"","5000Vrms","2.5V ~ 5.5V"
Unidirectional,=Part Number,"60kV/µs",Datasheet,https://www.silabs.com/documents/public/data-sheets/si864x-datasheet.pdf,DigiKey Link,//digikey.com/product-detail/en/silicon-labs/SI8642ET-IS/336-3429-5-ND/5604316,"","","","","","","","","150Mbps",DGTL ISO 5KV 4CH GEN PURP 16SOIC,"16-SOIC (0.295, 7.50mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - SI LABS SOIC-16 WIDE.PCBLIB,"","",SI LABS SOIC-16 WIDE,"","","2/2",No,"2019-12-06 07:30:36.753000","0",Silicon Labs,SI8642ET-IS,"1",Surface Mount,"4",-40°C ~ 125°C,"16-SOIC (0.295, 7.50mm Width)",Tube,"35",Active,"4.21","13ns, 13ns","4.5ns","2.5ns, 2.5ns",-,DigiKey,"336-3429-5-ND","","","","","","","","","","","16-SOIC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - SI LABS SI8642.SCHLIB,SI LABS SI8642,Capacitive Coupling,General Purpose,"","5000Vrms","2.5V ~ 5.5V"
"Bidirectional, Unidirectional",=Part Number,"25kV/µs",Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fiso1540-q1,DigiKey Link,//digikey.com/product-detail/en/texas-instruments/ISO1541QDQ1/296-45294-5-ND/6588883,"","","","","","","","","1Mbps",DGTL ISO 2.5KV 2CH I2C 8SOIC,"8-SOIC (0.154, 3.90mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - TI SOIC-8 D.PCBLIB,"","",TI SOIC-8 D,"","","2/1",No,"2019-12-06 07:36:51.737000","0",Texas Instruments,ISO1541QDQ1,"1",Surface Mount,"2",-40°C ~ 125°C,"8-SOIC (0.154, 3.90mm Width)",Tube,"36",Active,"5.79","","80ns, 21ns","","Automotive, AEC-Q100",DigiKey,"296-45294-5-ND","","","","","","","","","","","8-SOIC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - TI ISO154X.SCHLIB,TI ISO154X,Capacitive Coupling,I²C,"","2500Vrms","3V ~ 5.5V"
Bidirectional,=Part Number,"25kV/µs",Datasheet,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fiso1540-q1,DigiKey Link,//digikey.com/product-detail/en/texas-instruments/ISO1540QDRQ1/296-45354-1-ND/6615413,"","","","","","","","","",DGTL ISO 2.5KV 2CH I2C 8SOIC,"8-SOIC (0.154, 3.90mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - TI SOIC-8 D.PCBLIB,"","",TI SOIC-8 D,"","","2/2",No,"2019-12-06 07:38:16.543000","0",Texas Instruments,ISO1540QDRQ1,"1",Surface Mount,"2",-40°C ~ 125°C,"8-SOIC (0.154, 3.90mm Width)",CutTape,"37",Active,"5.67","","80ns, 21ns","","Automotive, AEC-Q100",DigiKey,"296-45354-1-ND","","","","","","","","","","","8-SOIC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - TI ISO154X.SCHLIB,TI ISO154X,Capacitive Coupling,I²C,"","2500Vrms","3V ~ 5.5V"
Unidirectional,=Part Number,"60kV/µs",Datasheet,https://www.silabs.com/documents/public/data-sheets/si863x-datasheet.pdf,DigiKey Link,//digikey.com/product-detail/en/silicon-labs/SI8630ET-IS/336-3419-5-ND/5604306,"","","","","","","","","150Mbps",DGTL ISO 5KV 3CH GEN PURP 16SOIC,"16-SOIC (0.295, 7.50mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - SI LABS SOIC-16 WIDE.PCBLIB,"","",SI LABS SOIC-16 WIDE,"","","3/0",No,"2019-12-08 03:35:09.057000","0",Silicon Labs,SI8630ET-IS,"1",Surface Mount,"3",-40°C ~ 125°C,"16-SOIC (0.295, 7.50mm Width)",Tube,"38",Active,"3.11","13ns, 13ns","4.5ns","2.5ns, 2.5ns",-,DigiKey,"336-3419-5-ND","","","","","","","","","","","16-SOIC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - SI LABS SI8630.SCHLIB,SI LABS SI8630,Capacitive Coupling,General Purpose,"","5000Vrms","2.5V ~ 5.5V"
Unidirectional,=Part Number,"35kV/µs",Datasheet,https://www.silabs.com/documents/public/data-sheets/Si86xx.pdf,DigiKey Link,//digikey.com/product-detail/en/silicon-labs/SI8631AB-B-IS/SI8631AB-B-IS-ND/4576736,"","","","","","","","","1Mbps",DGTL ISO 2.5KV GEN PURP 16SOIC,"16-SOIC (0.295, 7.50mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - SI LABS SOIC-16 WIDE.PCBLIB,"","",SI LABS SOIC-16 WIDE,"","","2/1",No,"2019-12-08 03:35:24.200000","0",Silicon Labs,SI8631AB-B-IS,"1",Surface Mount,"3",-40°C ~ 125°C,"16-SOIC (0.295, 7.50mm Width)",Tube,"39",Active,"1.51","35ns, 35ns","25ns","2.5ns, 2.5ns",-,DigiKey,SI8631AB-B-IS-ND,"","","","","","","","","","","16-SOIC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - SI LABS SI8631.SCHLIB,SI LABS SI8631,Capacitive Coupling,General Purpose,"","2500Vrms","2.5V ~ 5.5V"
Unidirectional,=Part Number,"35kV/µs",Datasheet,https://www.silabs.com/documents/public/data-sheets/si863x-datasheet.pdf,DigiKey Link,//digikey.com/product-detail/en/silicon-labs/SI8631BB-B-IS/336-2571-ND/4379909,"","","","","","","","","150Mbps",DGTL ISO 2.5KV GEN PURP 16SOIC,"16-SOIC (0.295, 7.50mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - SI LABS SOIC-16 WIDE.PCBLIB,"","",SI LABS SOIC-16 WIDE,"","","2/1",No,"2019-12-08 03:35:28.897000","0",Silicon Labs,SI8631BB-B-IS,"1",Surface Mount,"3",-40°C ~ 125°C,"16-SOIC (0.295, 7.50mm Width)",Tube,"40",Active,"2.27","13ns, 13ns","4.5ns","2.5ns, 2.5ns",-,DigiKey,"336-2571-ND","","","","","","","","","","","16-SOIC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - SI LABS SI8631.SCHLIB,SI LABS SI8631,Capacitive Coupling,General Purpose,"","2500Vrms","2.5V ~ 5.5V"
Unidirectional,=Part Number,"35kV/µs",Datasheet,https://www.silabs.com/documents/public/data-sheets/si863x-datasheet.pdf,DigiKey Link,//digikey.com/product-detail/en/silicon-labs/SI8631BD-B-IS/336-2077-5-ND/2623325,"","","","","","","","","150Mbps",DGTL ISO 5KV 3CH GEN PURP 16SOIC,"16-SOIC (0.295, 7.50mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - SI LABS SOIC-16 WIDE.PCBLIB,"","",SI LABS SOIC-16 WIDE,"","","2/1",No,"2019-12-08 03:35:34.647000","0",Silicon Labs,SI8631BD-B-IS,"1",Surface Mount,"3",-40°C ~ 125°C,"16-SOIC (0.295, 7.50mm Width)",Tube,"41",Active,"2.90","13ns, 13ns","4.5ns","2.5ns, 2.5ns",-,DigiKey,"336-2077-5-ND","","","","","","","","","","","16-SOIC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - SI LABS SI8631.SCHLIB,SI LABS SI8631,Capacitive Coupling,General Purpose,"","5000Vrms","2.5V ~ 5.5V"
Unidirectional,=Part Number,"35kV/µs",Datasheet,https://www.silabs.com/documents/public/data-sheets/si863x-datasheet.pdf,DigiKey Link,//digikey.com/product-detail/en/silicon-labs/SI8631ED-B-IS/336-2079-5-ND/2623327,"","","","","","","","","150Mbps",DGTL ISO 5KV 3CH GEN PURP 16SOIC,"16-SOIC (0.295, 7.50mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - SI LABS SOIC-16 WIDE.PCBLIB,"","",SI LABS SOIC-16 WIDE,"","","2/1",No,"2019-12-08 03:35:58.920000","0",Silicon Labs,SI8631ED-B-IS,"1",Surface Mount,"3",-40°C ~ 125°C,"16-SOIC (0.295, 7.50mm Width)",Tube,"42",Active,"2.90","13ns, 13ns","4.5ns","2.5ns, 2.5ns",-,DigiKey,"336-2079-5-ND","","","","","","","","","","","16-SOIC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - SI LABS SI8631.SCHLIB,SI LABS SI8631,Capacitive Coupling,General Purpose,"","5000Vrms","2.5V ~ 5.5V"
Unidirectional,=Part Number,"35kV/µs",Datasheet,https://www.silabs.com/documents/public/data-sheets/Si86xx.pdf,DigiKey Link,//digikey.com/product-detail/en/silicon-labs/SI8640AB-B-IS/SI8640AB-B-IS-ND/4576739,"","","","","","","","","1Mbps",DGTL ISO 2.5KV GEN PURP 16SOIC,"16-SOIC (0.295, 7.50mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - SI LABS SOIC-16 WIDE.PCBLIB,"","",SI LABS SOIC-16 WIDE,"","","4/0",No,"2019-12-08 03:36:13.213000","0",Silicon Labs,SI8640AB-B-IS,"1",Surface Mount,"4",-40°C ~ 125°C,"16-SOIC (0.295, 7.50mm Width)",Tube,"43",Active,"1.88","35ns, 35ns","25ns","2.5ns, 2.5ns",-,DigiKey,SI8640AB-B-IS-ND,"","","","","","","","","","","16-SOIC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - SI LABS SI8640.SCHLIB,SI LABS SI8640,Capacitive Coupling,General Purpose,"","2500Vrms","2.5V ~ 5.5V"
Unidirectional,=Part Number,"35kV/µs",Datasheet,https://www.silabs.com/documents/public/data-sheets/si864x-datasheet.pdf,DigiKey Link,//digikey.com/product-detail/en/silicon-labs/SI8640ED-B-IS/336-2085-5-ND/2623333,"","","","","","","","","150Mbps",DGTL ISO 5KV 4CH GEN PURP 16SOIC,"16-SOIC (0.295, 7.50mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - SI LABS SOIC-16 WIDE.PCBLIB,"","",SI LABS SOIC-16 WIDE,"","","4/0",No,"2019-12-08 03:36:34.470000","0",Silicon Labs,SI8640ED-B-IS,"1",Surface Mount,"4",-40°C ~ 125°C,"16-SOIC (0.295, 7.50mm Width)",Tube,"44",Active,"3.59","13ns, 13ns","4.5ns","2.5ns, 2.5ns",-,DigiKey,"336-2085-5-ND","","","","","","","","","","","16-SOIC",symbols/Video/SCH - VIDEO - MAXIM MAX7456.SCHLIB,MAXIM MAX7456,Capacitive Coupling,General Purpose,"","5000Vrms","2.5V ~ 5.5V"
Unidirectional,=Part Number,"35kV/µs",Datasheet,https://www.silabs.com/documents/public/data-sheets/si864x-datasheet.pdf,DigiKey Link,//digikey.com/product-detail/en/silicon-labs/SI8641BB-B-IS/SI8641BB-B-IS-ND/4576743,"","","","","","","","","150Mbps",DGTL ISO 2.5KV GEN PURP 16SOIC,"16-SOIC (0.295, 7.50mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - SI LABS SOIC-16 WIDE.PCBLIB,"","",SI LABS SOIC-16 WIDE,"","","3/1",No,"2019-12-08 03:36:55.553000","0",Silicon Labs,SI8641BB-B-IS,"1",Surface Mount,"4",-40°C ~ 125°C,"16-SOIC (0.295, 7.50mm Width)",Tube,"45",Active,"2.73","13ns, 13ns","4.5ns","2.5ns, 2.5ns",-,DigiKey,SI8641BB-B-IS-ND,"","","","","","","","","","","16-SOIC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - SI LABS SI8641.SCHLIB,SI LABS SI8641,Capacitive Coupling,General Purpose,"","2500Vrms","2.5V ~ 5.5V"
Unidirectional,=Part Number,"35kV/µs",Datasheet,https://www.silabs.com/documents/public/data-sheets/si864x-datasheet.pdf,DigiKey Link,//digikey.com/product-detail/en/silicon-labs/SI8641BD-B-IS/336-2088-5-ND/2623336,"","","","","","","","","150Mbps",DGTL ISO 5KV 4CH GEN PURP 16SOIC,"16-SOIC (0.295, 7.50mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - SI LABS SOIC-16 WIDE.PCBLIB,"","",SI LABS SOIC-16 WIDE,"","","3/1",No,"2019-12-08 03:36:59.683000","0",Silicon Labs,SI8641BD-B-IS,"1",Surface Mount,"4",-40°C ~ 125°C,"16-SOIC (0.295, 7.50mm Width)",Tube,"46",Active,"3.59","13ns, 13ns","4.5ns","2.5ns, 2.5ns",-,DigiKey,"336-2088-5-ND","","","","","","","","","","","16-SOIC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - SI LABS SI8641.SCHLIB,SI LABS SI8641,Capacitive Coupling,General Purpose,"","5000Vrms","2.5V ~ 5.5V"
Unidirectional,=Part Number,"35kV/µs",Datasheet,https://www.silabs.com/documents/public/data-sheets/Si86xx.pdf,DigiKey Link,//digikey.com/product-detail/en/silicon-labs/SI8642AB-B-IS/SI8642AB-B-IS-ND/4576744,"","","","","","","","","1Mbps",DGTL ISO 2.5KV GEN PURP 16SOIC,"16-SOIC (0.295, 7.50mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - SI LABS SOIC-16 WIDE.PCBLIB,"","",SI LABS SOIC-16 WIDE,"","","2/2",No,"2019-12-08 03:37:16.500000","0",Silicon Labs,SI8642AB-B-IS,"1",Surface Mount,"4",-40°C ~ 125°C,"16-SOIC (0.295, 7.50mm Width)",Tube,"47",Active,"1.88","35ns, 35ns","25ns","2.5ns, 2.5ns",-,DigiKey,SI8642AB-B-IS-ND,"","","","","","","","","","","16-SOIC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - SI LABS SI8641.SCHLIB,SI LABS SI8641,Capacitive Coupling,General Purpose,"","2500Vrms","2.5V ~ 5.5V"
Bidirectional,=Part Number,"25kV/µs",Datasheet,https://www.analog.com/media/en/technical-documentation/data-sheets/ADuM4160.pdf,DigiKey Link,//digikey.com/product-detail/en/analog-devices-inc/ADUM4160BRIZ-RL/ADUM4160BRIZ-RLTR-ND/2700137,"","","","","","","","","12Mbps",DGTL ISOLATOR 5KV 2CH USB 16SOIC,"16-SOIC (0.295, 7.50mm Width)",footprints/Leaded - SOIC/PCB - LEADED - SOIC - ANALOG DEV SOIC-16 RI-16-1.PCBLIB,"","",ANALOG DEV SOIC-16 RI-16-1,"","","2/2",No,"2019-12-09 20:48:06.087000","0",Analog Devices Inc.,ADUM4160BRIZ-RL,"1",Surface Mount,"2",-40°C ~ 105°C,"16-SOIC (0.295, 7.50mm Width)",TapeAndReel,"48",Active,"6.80","70ns, 70ns","","20ns, 20ns (Max)",iCoupler®,DigiKey,ADUM4160BRIZ-RLTR-ND,"","","","","","","","","","","16-SOIC-IC",symbols/Digital Isolator/SCH - DIGITAL ISOLATOR - ANALOG DEVICES ADUM4160BRIZ-RL.SCHLIB,ANALOG DEVICES ADUM4160BRIZ-RL,Magnetic Coupling,USB,"","5000Vrms","3.1V ~ 5.5V"
