Part Type,Part Number,Schematic Part,Part Value,"Capacitance @ Vr, F",Current - Average Rectified (Io),Current - Reverse Leakage @ Vr,Reverse Recovery Time (trr),Speed,Voltage - DC Reverse (Vr) (Max),Voltage - Forward (Vf) (Max) @ If,Voltage,Allegro PCB Footprint,Package / Case,Pspice Model,Power,Availability,Data Sheet,Description,Mounting Type,Size,Number of Pins,Operating Temperature,Distributor Part Number,Manufacturer,Manufacturer Part Number,Price,ActivepartsID
DIODE,SES1DTR,diodes\Diode,,"15pF @ 5V, 1MHz",1A,5µA @ 200V,15ns,"Fast Recovery =< 500ns, > 200mA (Io)",200V,920mV @ 1A,,,"DO-214AC, SMA",,,,http://www.smc-diodes.com/propdf/SES1D%20N1989%20REV.-.pdf,UF RECOVERY RECTIFIER 200V SMA,Surface Mount,,2,-55°C ~ 150°C,,SMC Diode Solutions,,,
DIODE,GS2M-LTP,diodes\Diode,,"20pF @ 4V, 1MHz",2A,5µA @ 1000V,,"Standard Recovery >500ns, > 200mA (Io)",1000V,1.1V @ 2A,,,"DO-214AC, SMA",,,,https://www.mccsemi.com/pdf/Products/GS2A-L~GS2M-L(DO-214AC).pdf,DIODE GEN PURP 1KV 2A DO214AC,Surface Mount,,2,-55°C ~ 150°C,,Micro Commercial Co,,,
DIODE,US2GA,diodes\Diode,,"50pF @ 4V, 1MHz",1.5A,5µA @ 400V,50ns,"Fast Recovery =< 500ns, > 200mA (Io)",400V,1.3V @ 1.5A,,,"DO-214AC, SMA",,,,https://www.onsemi.com/pub/Collateral/US2AA-D.PDF,DIODE GP 400V 1.5A DO214AC,Surface Mount,,2,-55°C ~ 150°C,,ON Semiconductor,,,
DIODE,US1J-TP,diodes\Diode,,"10pF @ 4V, 1MHz",1A,10µA @ 600V,75ns,"Fast Recovery =< 500ns, > 200mA (Io)",600V,1.7V @ 1A,,,"DO-214AC, SMA",,,,https://www.mccsemi.com/pdf/Products/US1A-US1M(DO-214AC).pdf,DIODE GEN PURP 600V 1A DO214AC,Surface Mount,,2,-65°C ~ 175°C,,Micro Commercial Co,,,
DIODE,SURA8130T3G,diodes\Diode,,,1A,5µA @ 300V,65ns,"Fast Recovery =< 500ns, > 200mA (Io)",300V,1.1V @ 1A,,,"DO-214AC, SMA",,,,http://www.onsemi.com/pub/Collateral/MURA130T3-D.PDF,DIODE GEN PURP 300V 1A SMA,Surface Mount,,2,-65°C ~ 175°C,,ON Semiconductor,,,
DIODE,US1ME-TP,diodes\Diode,,"17pF @ 4V, 1MHz",1A,10µA @ 1000V,75ns,"Fast Recovery =< 500ns, > 200mA (Io)",1000V,1.7V @ 1A,,,"DO-214AC, SMA",,,,https://www.mccsemi.com/pdf/Products/US1AE-US1ME(SMAE)-D.pdf,DIODE GEN PURP 1KV 1A SMAE,Surface Mount,,2,-65°C ~ 175°C,,Micro Commercial Co,,,
DIODE,US1K-TP,diodes\Diode,,"10pF @ 4V, 1MHz",1A,10µA @ 800V,75ns,"Fast Recovery =< 500ns, > 200mA (Io)",800V,1.7V @ 1A,,,"DO-214AC, SMA",,,,https://www.mccsemi.com/pdf/Products/US1A-US1M(DO-214AC).pdf,DIODE GEN PURP 800V 1A DO214AC,Surface Mount,,2,-65°C ~ 175°C,,Micro Commercial Co,,,
DIODE,US1JE-TP,diodes\Diode,,"17pF @ 4V, 1MHz",1A,10µA @ 600V,75ns,"Fast Recovery =< 500ns, > 200mA (Io)",600V,1.7V @ 1A,,,"DO-214AC, SMA",,,,https://www.mccsemi.com/pdf/Products/US1AE-US1ME(SMAE)-D.pdf,DIODE GEN PURP 600V 1A SMAE,Surface Mount,,2,-50°C ~ 150°C,,Micro Commercial Co,,,
DIODE,US1A-TP,diodes\Diode,,,1A,10µA @ 50V,50ns,"Fast Recovery =< 500ns, > 200mA (Io)",50V,1V @ 1A,,,"DO-214AC, SMA",,,,https://www.mccsemi.com/pdf/Products/US1A-US1M(DO-214AC).pdf,DIODE GEN PURP 50V 1A DO214AC,Surface Mount,,2,-65°C ~ 175°C,,Micro Commercial Co,,,
DIODE,MURA215T3G,diodes\Diode,,,2A,2µA @ 150V,35ns,"Fast Recovery =< 500ns, > 200mA (Io)",150V,950mV @ 2A,,,"DO-214AC, SMA",,,,https://www.onsemi.com/pub/Collateral/MURA215T3-D.PDF,DIODE GEN PURP 150V 2A SMA,Surface Mount,,2,-65°C ~ 175°C,,ON Semiconductor,,,
DIODE,US1ML-TP,diodes\Diode,,"8pF @ 4V, 1MHz",1A,5µA @ 1000V,120ns,"Fast Recovery =< 500ns, > 200mA (Io)",1000V,1.5V @ 1A,,,"DO-214AC, SMA",,,,https://www.mccsemi.com/pdf/Products/US1ML(DO-214AC)-A.pdf,DIODE GEN PURP 1KV 1A DO214AC,Surface Mount,,2,-55°C ~ 150°C,,Micro Commercial Co,,,
DIODE,GS2G-LTP,diodes\Diode,,"20pF @ 4V, 1MHz",2A,5µA @ 400V,,"Standard Recovery >500ns, > 200mA (Io)",400V,1.1V @ 2A,,,"DO-214AC, SMA",,,,https://www.mccsemi.com/pdf/Products/GS2A-L~GS2M-L(DO-214AC).pdf,DIODE GEN PURP 400V 2A DO214AC,Surface Mount,,2,-55°C ~ 150°C,,Micro Commercial Co,,,
DIODE,SA2B-E3/5AT,diodes\Diode,,"11pF @ 4V, 1MHz",2A,3µA @ 100V,1.5µs,"Standard Recovery >500ns, > 200mA (Io)",100V,1.1V @ 2A,,,"DO-214AC, SMA",,,,http://www.vishay.com/docs/88969/sa2b.pdf,DIODE GEN PURP 100V 2A DO214AC,Surface Mount,,2,-55°C ~ 150°C,,Vishay Semiconductor Diodes Division,,,
DIODE,SA2D-E3/5AT,diodes\Diode,,"11pF @ 4V, 1MHz",2A,3µA @ 200V,1.5µs,"Standard Recovery >500ns, > 200mA (Io)",200V,1.1V @ 2A,,,"DO-214AC, SMA",,,,http://www.vishay.com/docs/88969/sa2b.pdf,DIODE GEN PURP 200V 2A DO214AC,Surface Mount,,2,-55°C ~ 150°C,,Vishay Semiconductor Diodes Division,,,
DIODE,MURA240T3G,diodes\Diode,,,2A,5µA @ 400V,65ns,"Fast Recovery =< 500ns, > 200mA (Io)",400V,1.3V @ 2A,,,"DO-214AC, SMA",,,,https://www.onsemi.com/pub/Collateral/MURA230T3-D.PDF,DIODE GEN PURP 400V 2A SMA,Surface Mount,,2,-65°C ~ 175°C,,ON Semiconductor,,,
DIODE,ES2DA-13-F,diodes\Diode,,"25pF @ 4V, 1MHz",2A,5µA @ 200V,25ns,"Fast Recovery =< 500ns, > 200mA (Io)",200V,920mV @ 2A,,,"DO-214AC, SMA",,,,https://www.diodes.com/assets/Datasheets/ds14002.pdf,DIODE GEN PURP 200V 2A SMA,Surface Mount,,2,-55°C ~ 150°C,,Diodes Incorporated,,,
DIODE,ES2BA-13-F,diodes\Diode,,"25pF @ 4V, 1MHz",2A,5µA @ 100V,25ns,"Fast Recovery =< 500ns, > 200mA (Io)",100V,920mV @ 2A,,,"DO-214AC, SMA",,,,https://www.diodes.com/assets/Datasheets/ds14002.pdf,DIODE GEN PURP 100V 2A SMA,Surface Mount,,2,-55°C ~ 150°C,,Diodes Incorporated,,,
DIODE,CD214A-R12000,diodes\Diode,,"12pF @ 4V, 1MHz",1A,5µA @ 2000V,,"Standard Recovery >500ns, > 200mA (Io)",2000V,2V @ 1A,,,"DO-214AC, SMA",,,,https://www.bourns.com/docs/Product-Datasheets/CD214A-R150_R11600.pdf,DIODE GEN PURP 2KV 1A SMA,Surface Mount,,2,-65°C ~ 175°C,,Bourns Inc.,,,
DIODE,STTH1R06A,diodes\Diode,,,1A,1µA @ 600V,45ns,"Fast Recovery =< 500ns, > 200mA (Io)",600V,1.7V @ 1A,,,"DO-214AC, SMA",,,,http://www.st.com/content/ccc/resource/technical/document/datasheet/c7/d5/fe/c4/56/21/41/02/CD00005135.pdf/files/CD00005135.pdf/jcr:content/translations/en.CD00005135.pdf,DIODE GEN PURP 600V 1A SMA,Surface Mount,,2,175°C (Max),,STMicroelectronics,,,
DIODE,CMR1-02M TR13 PBFREE,diodes\Diode,,"8pF @ 4V, 1MHz",1A,5µA @ 200V,,"Standard Recovery >500ns, > 200mA (Io)",200V,1.1V @ 1A,,,"DO-214AC, SMA",,,,https://my.centralsemi.com/get_document.php?cmp=1&mergetype=pd&mergepath=pd&pdf_id=CMR1-02M-10M.PDF,DIODE GEN PURP 200V 1A SMA,Surface Mount,,2,-65°C ~ 150°C,,Central Semiconductor Corp,,,
DIODE,STTH2R02A,diodes\Diode,,,2A,3µA @ 200V,30ns,"Fast Recovery =< 500ns, > 200mA (Io)",200V,1V @ 2A,,,"DO-214AC, SMA",,,,http://www.st.com/content/ccc/resource/technical/document/datasheet/group2/22/04/b2/71/c0/82/44/72/CD00110332/files/CD00110332.pdf/jcr:content/translations/en.CD00110332.pdf,DIODE GEN PURP 200V 2A SMA,Surface Mount,,2,175°C (Max),,STMicroelectronics,,,
DIODE,STTH2R06A,diodes\Diode,,,2A,2µA @ 600V,50ns,"Fast Recovery =< 500ns, > 200mA (Io)",600V,1.7V @ 2A,,,"DO-214AC, SMA",,,,http://www.st.com/content/ccc/resource/technical/document/datasheet/fe/4e/e1/d9/af/18/4b/81/CD00043011.pdf/files/CD00043011.pdf/jcr:content/translations/en.CD00043011.pdf,DIODE GEN PURP 600V 2A SMA,Surface Mount,,2,-40°C ~ 175°C,,STMicroelectronics,,,
DIODE,STTH2L06A,diodes\Diode,,,2A,2µA @ 600V,85ns,"Fast Recovery =< 500ns, > 200mA (Io)",600V,1.3V @ 2A,,,"DO-214AC, SMA",,,,http://www.st.com/content/ccc/resource/technical/document/datasheet/82/a8/23/af/30/66/4e/9e/CD00043012.pdf/files/CD00043012.pdf/jcr:content/translations/en.CD00043012.pdf,DIODE GEN PURP 600V 2A SMA,Surface Mount,,2,175°C (Max),,STMicroelectronics,,,
DIODE,STTH108A,diodes\Diode,,,1A,5µA @ 800V,75ns,"Fast Recovery =< 500ns, > 200mA (Io)",800V,1.65V @ 1A,,,"DO-214AC, SMA",,,,http://www.st.com/content/ccc/resource/technical/document/datasheet/48/db/2b/10/90/13/4d/b4/CD00003259.pdf/files/CD00003259.pdf/jcr:content/translations/en.CD00003259.pdf,DIODE GEN PURP 800V 1A SMA,Surface Mount,,2,175°C (Max),,STMicroelectronics,,,
DIODE,EGF1D,diodes\Diode,,"15pF @ 4V, 1MHz",1A,10µA @ 200V,50ns,"Fast Recovery =< 500ns, > 200mA (Io)",200V,1V @ 1A,,,"DO-214AC, SMA",,,,https://www.onsemi.com/pub/Collateral/EGF1D-D.pdf,DIODE GEN PURP 200V 1A SMA,Surface Mount,,2,-65°C ~ 175°C,,ON Semiconductor,,,
DIODE,ESH1B-E3/61T,diodes\Diode,,,1A,1µA @ 100V,25ns,"Fast Recovery =< 500ns, > 200mA (Io)",100V,900mV @ 1A,,,"DO-214AC, SMA",,,,http://www.vishay.com/docs/88890/esh1b.pdf,DIODE GEN PURP 100V 1A DO214AC,Surface Mount,,2,-55°C ~ 175°C,,Vishay Semiconductor Diodes Division,,,
DIODE,SURA8220T3G,diodes\Diode,,,2A,2µA @ 200V,35ns,"Fast Recovery =< 500ns, > 200mA (Io)",200V,950mV @ 2A,,,"DO-214AC, SMA",,,,https://www.onsemi.com/pub/Collateral/MURA215T3-D.PDF,DIODE GEN PURP 200V 2A SMA,Surface Mount,,2,-65°C ~ 175°C,,ON Semiconductor,,,
DIODE,NRVUA140VT3G,diodes\Diode,,,2A,5µA @ 400V,65ns,"Fast Recovery =< 500ns, > 200mA (Io)",400V,1.1V @ 1A,,,"DO-214AC, SMA",,,,http://www.onsemi.com/pub/Collateral/MURA130T3-D.PDF,DIODE GEN PURP 400V 2A SMA,Surface Mount,,2,-65°C ~ 175°C,,ON Semiconductor,,,
DIODE,CMR1F-10M TR13 PBFREE,diodes\Diode,,"15pF @ 4V, 1MHz",1A,5µA @ 1000V,500ns,"Fast Recovery =< 500ns, > 200mA (Io)",1000V,1.3V @ 1A,,,"DO-214AC, SMA",,,,https://my.centralsemi.com/get_document.php?cmp=1&mergetype=pd&mergepath=pd&pdf_id=CMR1F-02M-10M.PDF,DIODE GEN PURP 1000V 1A SMA,Surface Mount,,2,-65°C ~ 150°C,,Central Semiconductor Corp,,,
DIODE,SURA8140T3G,diodes\Diode,,,1A,5µA @ 400V,65ns,"Fast Recovery =< 500ns, > 200mA (Io)",400V,1.1V @ 1A,,,"DO-214AC, SMA",,,,http://www.onsemi.com/pub/Collateral/MURA130T3-D.PDF,DIODE GEN PURP 400V 1A SMA,Surface Mount,,2,-65°C ~ 175°C,,ON Semiconductor,,,
DIODE,SURA8110T3G,diodes\Diode,,,1A,2µA @ 100V,30ns,"Fast Recovery =< 500ns, > 200mA (Io)",100V,875mV @ 1A,,,"DO-214AC, SMA",,,,https://www.onsemi.com/pub/Collateral/MURA105T3-D.PDF,DIODE GEN PURP 100V 1A SMA,Surface Mount,,2,-65°C ~ 175°C,,ON Semiconductor,,,
DIODE,ES1BTR,diodes\Diode,,"45pF @ 4V, 1MHz",1A,5µA @ 100V,35ns,"Fast Recovery =< 500ns, > 200mA (Io)",100V,950mV @ 1A,,,"DO-214AC, SMA",,,,http://www.smc-diodes.com/propdf/ES1(A-M)%20N0159%20REV.E.pdf,ULTRA FAST RECTIFIER 600V SMA,Surface Mount,,2,-55°C ~ 150°C,,SMC Diode Solutions,,,
DIODE,ACGRA4004-HF,diodes\Diode,,"2.5pF @ 4V, 1MHz",1A,5µA @ 400V,2.5µs,"Standard Recovery >500ns, > 200mA (Io)",400V,1.1V @ 1A,,,"DO-214AC, SMA",,,,http://www.comchiptech.com/admin/files/product/ACGRA4001-HF%20Thru.%20ACGRA4007-HF%20RevB.pdf,DIODE GEN PURP 400V 1A DO214AC,Surface Mount,,2,-55°C ~ 150°C,,Comchip Technology,,,
DIODE,ACGRA4002-HF,diodes\Diode,,"2.5pF @ 4V, 1MHz",1A,5µA @ 100V,2.5µs,"Standard Recovery >500ns, > 200mA (Io)",100V,1.1V @ 1A,,,"DO-214AC, SMA",,,,http://www.comchiptech.com/admin/files/product/ACGRA4001-HF%20Thru.%20ACGRA4007-HF%20RevB.pdf,DIODE GEN PURP 100V 1A DO214AC,Surface Mount,,2,-55°C ~ 150°C,,Comchip Technology,,,
DIODE,S1N-13-F,diodes\Diode,,"6pF @ 4V, 1MHz",1A,5µA @ 1200V,,"Standard Recovery >500ns, > 200mA (Io)",1200V,,,,"DO-214AC, SMA",,,,https://www.diodes.com/assets/Datasheets/S1N.pdf,STANDARD RECOVERY RECTIFIER SMA,Surface Mount,,2,-55°C ~ 150°C,,Diodes Incorporated,,,
DIODE,ACGRA4001-HF,diodes\Diode,,"2.5pF @ 4V, 1MHz",1A,5µA @ 50V,2.5µs,"Standard Recovery >500ns, > 200mA (Io)",50V,1.1V @ 1A,,,"DO-214AC, SMA",,,,http://www.comchiptech.com/admin/files/product/ACGRA4001-HF%20Thru.%20ACGRA4007-HF%20RevB.pdf,DIODE GEN PURP 50V 1A DO214AC,Surface Mount,,2,-55°C ~ 150°C,,Comchip Technology,,,
DIODE,ES2AA R3G,diodes\Diode,,"25pF @ 4V, 1MHz",2A,10µA @ 50V,35ns,"Fast Recovery =< 500ns, > 200mA (Io)",50V,950mV @ 2A,,,"DO-214AC, SMA",,,,https://www.taiwansemi.com/products/datasheet/ES2AA%20SERIES_L15.pdf,DIODE GEN PURP 50V 2A DO214AC,Surface Mount,,2,-55°C ~ 150°C,,Taiwan Semiconductor Corporation,,,
DIODE,ES1B,diodes\Diode,,"7pF @ 4V, 1MHz",1A,5µA @ 100V,15ns,"Fast Recovery =< 500ns, > 200mA (Io)",100V,920mV @ 1A,,,"DO-214AC, SMA",,,,https://www.onsemi.com/pub/Collateral/ES1D-D.PDF,DIODE GEN PURP 100V 1A SMA,Surface Mount,,2,-55°C ~ 150°C,,ON Semiconductor,,,
DIODE,S2BA R3G,diodes\Diode,,"30pF @ 4V, 1MHz",1.5A,5µA @ 100V,1.5µs,"Standard Recovery >500ns, > 200mA (Io)",100V,1.1V @ 1.5A,,,"DO-214AC, SMA",,,,https://www.taiwansemi.com/products/datasheet/S2AA%20SERIES_J15.pdf,DIODE GEN PURP 100V 1.5A DO214AC,Surface Mount,,2,-55°C ~ 150°C,,Taiwan Semiconductor Corporation,,,
DIODE,US1Q-TP,diodes\Diode,,"45pF @ 4V, 1MHz",1A,5µA @ 1200V,75ns,"Fast Recovery =< 500ns, > 200mA (Io)",1200V,1.9V @ 1A,,,"DO-214AC, SMA",,,,https://www.mccsemi.com/pdf/Products/US1Q-TP(SMA)-V1.pdf,1AULTRAFASTRECOVERRECTIFIERSMA,Surface Mount,,2,-50°C ~ 150°C,,Micro Commercial Co,,,
DIODE,MURA230T3G,diodes\Diode,,,2A,5µA @ 300V,65ns,"Fast Recovery =< 500ns, > 200mA (Io)",300V,1.3V @ 2A,,,"DO-214AC, SMA",,,,https://www.onsemi.com/pub/Collateral/MURA230T3-D.PDF,DIODE GEN PURP 300V 2A SMA,Surface Mount,,2,-65°C ~ 175°C,,ON Semiconductor,,,
DIODE,ES1GTR,diodes\Diode,,"45pF @ 4V, 1MHz",1A,5µA @ 400V,35ns,"Fast Recovery =< 500ns, > 200mA (Io)",400V,1.3V @ 1A,,,"DO-214AC, SMA",,,,http://www.smc-diodes.com/propdf/ES1(A-M)%20N0159%20REV.E.pdf,DIODE GEN PURP 400V 1A SMA,Surface Mount,,2,-55°C ~ 150°C,,SMC Diode Solutions,,,
DIODE,ES1C,diodes\Diode,,"7pF @ 4V, 1MHz",1A,5µA @ 150V,15ns,"Fast Recovery =< 500ns, > 200mA (Io)",150V,920mV @ 1A,,,"DO-214AC, SMA",,,,https://www.onsemi.com/pub/Collateral/ES1D-D.PDF,DIODE GEN PURP 150V 1A SMA,Surface Mount,,2,-55°C ~ 150°C,,ON Semiconductor,,,
DIODE,ES1DTR,diodes\Diode,,"45pF @ 4V, 1MHz",1A,5µA @ 200V,35ns,"Fast Recovery =< 500ns, > 200mA (Io)",200V,950mV @ 1A,,,"DO-214AC, SMA",,,,http://www.smc-diodes.com/propdf/ES1(A-M)%20N0159%20REV.E.pdf,DIODE GEN PURP 200V 1A SMA,Surface Mount,,2,-55°C ~ 150°C,,SMC Diode Solutions,,,
DIODE,GF1D,diodes\Diode,,"15pF @ 4V, 1MHz",1A,5µA @ 200V,2µs,"Standard Recovery >500ns, > 200mA (Io)",200V,1V @ 1A,,,"DO-214AC, SMA",,,,https://www.onsemi.com/pub/Collateral/GF1M-D.pdf,DIODE GEN PURP 200V 1A SMA,Surface Mount,,2,-65°C ~ 175°C,,ON Semiconductor,,,
DIODE,ES1MTR,diodes\Diode,,"45pF @ 4V, 1MHz",1A,5µA @ 1000V,75ns,"Fast Recovery =< 500ns, > 200mA (Io)",1000V,1.7V @ 1A,,,"DO-214AC, SMA",,,,http://www.smc-diodes.com/propdf/ES1(A-M)%20N0159%20REV.E.pdf,DIODE GEN PURP 1KV 1A SMA,Surface Mount,,2,-55°C ~ 150°C,,SMC Diode Solutions,,,
DIODE,S1JTR,diodes\Diode,,"15pF @ 4V, 1MHz",1A,5µA @ 600V,2.5µs,"Standard Recovery >500ns, > 200mA (Io)",600V,1.1V @ 1A,,,"DO-214AC, SMA",,,,http://www.smc-diodes.com/propdf/S1A-S1M%20N0560%20REV.B.pdf,DIODE GEN PURP 600V 1A SMA,Surface Mount,,2,-65°C ~ 175°C,,SMC Diode Solutions,,,
DIODE,S1ATR,diodes\Diode,,"15pF @ 4V, 1MHz",1A,5µA @ 50V,2.5µs,"Standard Recovery >500ns, > 200mA (Io)",50V,1.1V @ 1A,,,"DO-214AC, SMA",,,,http://www.smc-diodes.com/propdf/S1A-S1M%20N0560%20REV.B.pdf,DIODE GEN PURP 50V 1A SMA,Surface Mount,,2,-65°C ~ 175°C,,SMC Diode Solutions,,,
DIODE,S1MTR,diodes\Diode,,"15pF @ 4V, 1MHz",1A,5µA @ 1000V,2.5µs,"Standard Recovery >500ns, > 200mA (Io)",1000V,1.1V @ 1A,,,"DO-214AC, SMA",,,,http://www.smc-diodes.com/propdf/S1A-S1M%20N0560%20REV.B.pdf,DIODE GEN PURP 1KV 1A SMA,Surface Mount,,2,-65°C ~ 175°C,,SMC Diode Solutions,,,
DIODE,US1G R3G,diodes\Diode,,"15pF @ 4V, 1MHz",1A,5µA @ 400V,50ns,"Fast Recovery =< 500ns, > 200mA (Io)",400V,1V @ 1A,,,"DO-214AC, SMA",,,,https://www.taiwansemi.com/products/datasheet/US1A%20SERIES_M15.pdf,DIODE GEN PURP 400V 1A DO214AC,Surface Mount,,2,-55°C ~ 150°C,,Taiwan Semiconductor Corporation,,,
DIODE,US1D R3G,diodes\Diode,,"15pF @ 4V, 1MHz",1A,5µA @ 200V,50ns,"Fast Recovery =< 500ns, > 200mA (Io)",200V,1V @ 1A,,,"DO-214AC, SMA",,,,https://www.taiwansemi.com/products/datasheet/US1A%20SERIES_M15.pdf,DIODE GEN PURP 200V 1A DO214AC,Surface Mount,,2,-55°C ~ 150°C,,Taiwan Semiconductor Corporation,,,
DIODE,US1J R3G,diodes\Diode,,"10pF @ 4V, 1MHz",1A,5µA @ 600V,75ns,"Fast Recovery =< 500ns, > 200mA (Io)",600V,1.7V @ 1A,,,"DO-214AC, SMA",,,,https://www.taiwansemi.com/products/datasheet/US1A%20SERIES_M15.pdf,DIODE GEN PURP 600V 1A DO214AC,Surface Mount,,2,-55°C ~ 150°C,,Taiwan Semiconductor Corporation,,,
DIODE,HS1J R3G,diodes\Diode,,"20pF @ 4V, 1MHz",1A,5µA @ 600V,75ns,"Fast Recovery =< 500ns, > 200mA (Io)",600V,1.7V @ 1A,,,"DO-214AC, SMA",,,,https://www.taiwansemi.com/products/datasheet/HS1A%20SERIES_K15.pdf,DIODE GEN PURP 600V 1A DO214AC,Surface Mount,,2,-55°C ~ 150°C,,Taiwan Semiconductor Corporation,,,
DIODE,HS1D R3G,diodes\Diode,,"15pF @ 4V, 1MHz",1A,5µA @ 200V,50ns,"Fast Recovery =< 500ns, > 200mA (Io)",200V,1V @ 1A,,,"DO-214AC, SMA",,,,https://www.taiwansemi.com/products/datasheet/HS1A%20SERIES_K15.pdf,DIODE GEN PURP 200V 1A DO214AC,Surface Mount,,2,-55°C ~ 150°C,,Taiwan Semiconductor Corporation,,,
DIODE,ES1D R3G,diodes\Diode,,"16pF @ 4V, 1MHz",1A,5µA @ 200V,35ns,"Fast Recovery =< 500ns, > 200mA (Io)",200V,950mV @ 1A,,,"DO-214AC, SMA",,,,https://www.taiwansemi.com/products/datasheet/ES1A%20SERIES_M15.pdf,DIODE GEN PURP 200V 1A DO214AC,Surface Mount,,2,-55°C ~ 150°C,,Taiwan Semiconductor Corporation,,,
DIODE,CD214A-F1100,diodes\Diode,,"10pF @ 4V, 1MHz",1A,5µA @ 100V,25ns,"Fast Recovery =< 500ns, > 200mA (Io)",100V,950mV @ 1A,,,"DO-214AC, SMA",,,,https://www.bourns.com/docs/Product-Datasheets/CD214A-F150_F1600.pdf,DIODE GEN PURP 100V 1A DO214AC,Surface Mount,,2,-55°C ~ 150°C,,Bourns Inc.,,,
DIODE,SURA8160T3G,diodes\Diode,,,1A,5µA @ 600V,75ns,"Fast Recovery =< 500ns, > 200mA (Io)",600V,1.25V @ 1A,,,"DO-214AC, SMA",,,,http://www.onsemi.com/pub/Collateral/MURA160T3-D.PDF,DIODE GEN PURP 600V 1A SMA,Surface Mount,,2,-65°C ~ 175°C,,ON Semiconductor,,,
DIODE,ES1J R3G,diodes\Diode,,"18pF @ 4V, 1MHz",1A,5µA @ 600V,35ns,"Fast Recovery =< 500ns, > 200mA (Io)",600V,1.7V @ 1A,,,"DO-214AC, SMA",,,,https://www.taiwansemi.com/products/datasheet/ES1A%20SERIES_M15.pdf,DIODE GEN PURP 600V 1A DO214AC,Surface Mount,,2,-55°C ~ 150°C,,Taiwan Semiconductor Corporation,,,
DIODE,ES1A-E3/61T,diodes\Diode,,"10pF @ 4V, 1MHz",1A,5µA @ 50V,25ns,"Fast Recovery =< 500ns, > 200mA (Io)",50V,920mV @ 1A,,,"DO-214AC, SMA",,,,http://www.vishay.com/docs/88586/es1.pdf,DIODE GEN PURP 50V 1A DO214AC,Surface Mount,,2,-55°C ~ 150°C,,Vishay Semiconductor Diodes Division,,,
DIODE,CURA107-G,diodes\Diode,,,1A,5µA @ 1000V,75ns,"Fast Recovery =< 500ns, > 200mA (Io)",1000V,1.7V @ 1A,,,"DO-214AC, SMA",,,,http://www.comchiptech.com/admin/files/product/CURA101-G Thur. CURA107-G RevA.pdf,DIODE GEN PURP 1KV 1A DO214AC,Surface Mount,,2,150°C (Max),,Comchip Technology,,,
DIODE,BYG20G R3G,diodes\Diode,,,1.5A,1µA @ 400V,75ns,"Fast Recovery =< 500ns, > 200mA (Io)",400V,1.4V @ 1.5A,,,"DO-214AC, SMA",,,,https://www.taiwansemi.com/products/datasheet/BYG20D%20SERIES_E15.pdf,DIODE GEN PURP 400V 1.5A DO214AC,Surface Mount,,2,-55°C ~ 150°C,,Taiwan Semiconductor Corporation,,,
DIODE,HS2MA R3G,diodes\Diode,,"30pF @ 4V, 1MHz",1.5A,5µA @ 1000V,75ns,"Fast Recovery =< 500ns, > 200mA (Io)",1000V,1.7V @ 1.5A,,,"DO-214AC, SMA",,,,https://www.taiwansemi.com/products/datasheet/HS2AA%20SERIES_H14.pdf,DIODE GEN PURP 1KV 1.5A DO214AC,Surface Mount,,2,-55°C ~ 150°C,,Taiwan Semiconductor Corporation,,,
DIODE,STTH1R04A,diodes\Diode,,,1A,5µA @ 400V,30ns,"Fast Recovery =< 500ns, > 200mA (Io)",400V,1.5V @ 1A,,,"DO-214AC, SMA",,,,http://www.st.com/content/ccc/resource/technical/document/datasheet/59/22/ee/6e/ea/07/42/db/CD00199069.pdf/files/CD00199069.pdf/jcr:content/translations/en.CD00199069.pdf,DIODE GEN PURP 400V 1A SMA,Surface Mount,,2,175°C (Max),,STMicroelectronics,,,
DIODE,ES1D-M3/61T,diodes\Diode,,"10pF @ 4V, 1MHz",1A,5µA @ 200V,25ns,"Fast Recovery =< 500ns, > 200mA (Io)",200V,920mV @ 1A,,,"DO-214AC, SMA",,,,http://www.vishay.com/docs/88586/es1.pdf,DIODE GEN PURP 200V 1A DO214AC,Surface Mount,,2,-55°C ~ 150°C,,Vishay Semiconductor Diodes Division,,,
DIODE,RS1JHE3_A/H,diodes\Diode,,"7pF @ 4V, 1MHz",1A,5µA @ 600V,250ns,"Fast Recovery =< 500ns, > 200mA (Io)",600V,1.3V @ 1A,,,"DO-214AC, SMA",,,,http://www.vishay.com/docs/88707/rs1a.pdf,DIODE GEN PURP 600V 1A DO214AC,Surface Mount,,2,-55°C ~ 150°C,,Vishay Semiconductor Diodes Division,,,
DIODE,ES2HA R3G,diodes\Diode,,"20pF @ 4V, 1MHz",2A,10µA @ 500V,35ns,"Fast Recovery =< 500ns, > 200mA (Io)",500V,1.7V @ 2A,,,"DO-214AC, SMA",,,,https://www.taiwansemi.com/products/datasheet/ES2AA%20SERIES_L15.pdf,DIODE GEN PURP 500V 2A DO214AC,Surface Mount,,2,-55°C ~ 150°C,,Taiwan Semiconductor Corporation,,,
DIODE,ES2GA R3G,diodes\Diode,,"20pF @ 4V, 1MHz",2A,10µA @ 400V,35ns,"Fast Recovery =< 500ns, > 200mA (Io)",400V,1.3V @ 2A,,,"DO-214AC, SMA",,,,https://www.taiwansemi.com/products/datasheet/ES2AA%20SERIES_L15.pdf,DIODE GEN PURP 400V 2A DO214AC,Surface Mount,,2,-55°C ~ 150°C,,Taiwan Semiconductor Corporation,,,
